STATE,STATE_ABBR,POLL_COUNT,USABLE_POLL_COUNT,UNIQUE_POLLSTERS,EFFECTIVE_POLL_COUNT,LAST_POLL_DATE,DAYS_SINCE_LAST_POLL,DEM_MEAN,REP_MEAN,MARGIN,POLLING_DISPERSION,INTERNAL_SHARE,LV_POLL_COUNT,RV_POLL_COUNT,AVG_SAMPLE_SIZE,MEDIAN_SAMPLE_SIZE,POLL_COVERAGE_SCORE,POLL_COVERAGE,UNMAPPED_POLL_COUNT
Alabama,AL,1,0,0,,,,,,,,,,,,,0.0,None,1
Alaska,AK,14,11,4,2.6083231501606985,2026-08-23,14.865209365069445,49.946839606868814,48.71938948084908,1.2274501260197326,2.6699336048945965,0.0,10.0,1.0,1209.4,1327.0,63.12301066026323,Medium,3
Arkansas,AR,2,1,1,1.0,2026-02-09,209.86520936506943,36.0,58.00000000000001,-22.000000000000007,0.0,0.0,1.0,0.0,550.0,550.0,18.541666666666668,Low,1
Florida,FL,16,16,8,8.134217513027927,2026-07-17,51.86520936506945,42.03333960545463,47.75220651716523,-5.718866911710599,4.5264730567333915,0.0,15.0,1.0,1049.4375,848.0,82.71159687831017,High,0
Georgia,GA,15,15,11,3.608147620326475,2026-08-17,20.865209365069447,49.174436801575936,42.114398936792135,7.060037864783801,3.544452405822775,0.0,11.0,4.0,1041.0,1000.0,73.83057605057185,High,0
Idaho,ID,1,0,0,,,,,,,,,,,,,0.0,None,1
Iowa,IA,13,0,0,,,,,,,,,,,,,0.0,None,13
Kansas,KS,1,1,1,1.0,2026-01-28,221.86520936506943,46.0,54.0,-8.0,0.0,0.0,1.0,0.0,1013.0,1013.0,18.541666666666668,Low,0
Maine,ME,34,34,17,10.360535902488074,2026-08-10,27.865209365069443,47.80572173455749,45.0335063325994,2.7722154019580856,3.774513461581208,0.0,30.0,4.0,859.8529411764706,810.0,90.71159687831019,High,0
Massachusetts,MA,15,7,4,2.236433924235697,2026-08-12,25.865209365069443,50.79953554734131,30.292165132906955,20.50737041443435,4.191828786034631,0.0,3.0,4.0,631.0,616.0,57.82932863017469,Medium,8
Michigan,MI,55,0,0,,,,,,,,,,,,,0.0,None,55
Minnesota,MN,5,2,1,2.0,2025-09-16,355.8652093650694,46.5,43.49999999999999,3.000000000000007,1.4142135623730951,0.0,2.0,0.0,1015.0,1015.0,22.916666666666664,Low,3
Mississippi,MS,2,2,2,1.0779271199228373,2026-08-15,22.865209365069447,41.39210182534272,47.00000000000001,-5.6078981746572865,2.1213203435596424,0.0,2.0,0.0,759.0,759.0,45.4275280279726,Medium,0
Montana,MT,22,0,0,,,,,,,,,,,,,0.0,None,22
New Hampshire,NH,20,0,0,,,,,,,,,,,,,0.0,None,20
New Mexico,NM,1,0,0,,,,,,,,,,,,,0.0,None,1
North Carolina,NC,33,0,0,,,,,,,,,,,,,0.0,None,33
Ohio,OH,15,15,10,3.9473068770751545,2026-08-13,24.865209365069443,49.02557648211452,45.981671840766786,3.043904641347737,4.756779622912162,0.0,6.0,8.0,881.5714285714286,825.0,73.98106446551398,High,0
Rhode Island,RI,2,1,1,1.0,2026-06-23,75.86520936506945,52.00000000000001,34.0,18.000000000000007,0.0,0.0,1.0,0.0,664.0,664.0,23.25326354497685,Low,1
Tennessee,TN,1,1,1,1.0,2026-08-26,11.865209365069443,31.0,51.0,-20.0,0.0,0.0,0.0,1.0,1157.0,1157.0,44.58659687831019,Low,0
Texas,TX,35,8,8,3.121053355346943,2026-04-20,139.86520936506946,41.8875,42.862500000000004,-0.9750000000000014,4.4918179584026525,0.0,3.0,4.0,1142.875,1098.5,48.65460842964288,Medium,27
Virginia,VA,6,0,0,,,,,,,,,,,,,0.0,None,6
