DISTRICT,STATE_ABBR,POLL_COUNT,USABLE_POLL_COUNT,UNIQUE_POLLSTERS,EFFECTIVE_POLL_COUNT,LAST_POLL_DATE,DAYS_SINCE_LAST_POLL,DEM_MEAN,REP_MEAN,MARGIN,POLLING_DISPERSION,INTERNAL_SHARE,LV_POLL_COUNT,RV_POLL_COUNT,AVG_SAMPLE_SIZE,MEDIAN_SAMPLE_SIZE,POLL_COVERAGE_SCORE,POLL_COVERAGE,UNMAPPED_POLL_COUNT
PA-10,PA,3,3,2,1.0677064068301676,2026-04-23,136.86520936506946,49.46358031026808,44.481790155134036,4.981790155134043,1.5275252316519465,0.0,0,2,502.6666666666667,549.0,23.004548863215316,Low,0
SC-01,SC,1,1,1,1.0,2026-07-22,46.86520936506944,48.0,50.0,-2.0,0.0,0.0,1,0,400.0,400.0,32.91993021164352,Low,0
TX-15,TX,3,3,3,1.443126388066994,2026-07-30,38.86520936506944,47.59069832093274,44.483721068771295,3.1069772521614425,4.041451884327381,0.0,3,0,678.3333333333334,700.0,45.85860815943662,Medium,0
TX-23,TX,3,3,1,2.960222752585521,2026-03-11,179.86520936506946,41.803278688524586,43.80327868852459,-2.000000000000007,0.0,0.0,0,2,521.0,521.0,27.117641209228317,Low,0
TX-28,TX,1,1,1,1.0,2026-07-30,38.86520936506944,45.0,34.0,11.0,0.0,0.0,1,0,600.0,600.0,35.58659687831018,Low,0
TX-34,TX,1,1,1,1.0,2026-07-30,38.86520936506944,44.99999999999999,42.0,2.999999999999993,0.0,0.0,1,0,700.0,700.0,35.58659687831018,Low,0
TX-35,TX,1,1,1,1.0,2026-08-31,6.865209365069444,44.0,45.0,-1.0,0.0,0.0,1,0,500.0,500.0,46.25326354497685,Medium,0
VA-01,VA,3,3,2,1.0285910175283413,2026-03-12,178.86520936506946,43.75,43.00000000000001,0.7499999999999929,1.5275252316519468,0.0,1,2,494.0,541.0,22.833419035019826,Low,0
VA-02,VA,1,1,1,1.0,2026-07-13,55.86520936506945,47.0,47.0,0.0,0.0,0.0,1,0,700.0,700.0,29.919930211643518,Low,0
VT-AL,VT,2,2,1,1.5031513171471242,2026-07-20,48.86520936506945,61.72477312016689,25.21253781330552,36.51223530686137,4.949747468305833,0.0,2,0,595.5,595.5,34.45455055749552,Low,0
WA-03,WA,2,2,2,1.000442750482956,2026-07-10,58.86520936506945,43.10529436190452,45.84188168898284,-2.7365873270783183,3.7193816690412387,0.0,1,1,250.0,250.0,33.08853391167311,Low,0
WI-03,WI,2,2,2,1.0061726452373387,2026-06-25,73.86520936506945,47.58457387402784,44.38971591601856,3.1948579580092797,1.4142135623730951,0.0,2,0,572.0,572.0,28.113602201223543,Low,0
