Matchup,cd,dem_name,rep_name,prediction,raw_prediction,bucket,win_prob_d,flip,win_prob_r
Bill Hill (Ind) vs Nick Begich (R),AK-AL,Bill Hill (Ind),Nick Begich,R+10.4,10.4,Likely R,9,N,91
Clyde Jones Jr. (D) vs Jerry Carl (R),AL-01,Clyde Jones Jr.,Jerry Carl,R+28.3,28.3,Safe R,0,N,100
Shomari Figures (D) vs Rhett Marques (R),AL-02,Shomari Figures,Rhett Marques,R+0.4,0.4,Tossup,48,Y,52
Lee McInnis (D) vs Mike Rogers (R),AL-03,Lee McInnis,Mike Rogers,R+41.6,41.6,Safe R,0,N,100
Amanda Pusczek (D) vs Robert Aderholt (R),AL-04,Amanda Pusczek,Robert Aderholt,R+60.7,60.7,Safe R,0,N,100
Andrew Sneed (D) vs Dale Strong (R),AL-05,Andrew Sneed,Dale Strong,R+24.6,24.6,Safe R,0,N,100
Maurice Mercer (D) vs Gary Palmer (R),AL-06,Maurice Mercer,Gary Palmer,R+27.2,27.2,Safe R,0,N,100
Terri Sewell (D) vs Ammie Akin (R),AL-07,Terri Sewell,Ammie Akin,D+33.9,-33.9,Safe D,100,N,0
Terri Green (D) vs Rick Crawford (R),AR-01,Terri Green,Rick Crawford,R+41.9,41.9,Safe R,0,N,100
Chris Jones (D) vs French Hill (R),AR-02,Chris Jones,French Hill,R+5.9,5.9,Likely R,20,N,80
Robb Ryerse (D) vs Steve Womack (R),AR-03,Robb Ryerse,Steve Womack,R+21.4,21.4,Safe R,0,N,100
James Russell (D) vs Bruce Westerman (R),AR-04,James Russell,Bruce Westerman,R+36.0,36,Safe R,0,N,100
Amish Shah (D) vs Jay Feely (R),AZ-01,Amish Shah,Jay Feely,D+7.1,-7.1,Likely D,85,Y,15
Jonathan Nez (D) vs Eli Crane (R),AZ-02,Jonathan Nez,Eli Crane,R+2.8,2.8,Lean R,33,N,67
Yassamin Ansari (D) vs Nicholas Glenn (R),AZ-03,Yassamin Ansari,Nicholas Glenn,D+57.9,-57.9,Safe D,100,N,0
Greg Stanton (D) vs Zuhdi Jasser (R),AZ-04,Greg Stanton,Zuhdi Jasser,D+21.9,-21.9,Safe D,100,N,0
Elizabeth Lee (D) vs Mark Lamb (R),AZ-05,Elizabeth Lee,Mark Lamb,R+12.7,12.7,Safe R,3,N,97
JoAnna Mendoza (D) vs Juan Ciscomani (R),AZ-06,JoAnna Mendoza,Juan Ciscomani,D+7.5,-7.5,Likely D,87,Y,13
Adelita Grijalva (D) vs Daniel Butierez (R),AZ-07,Adelita Grijalva,Daniel Butierez,D+39.3,-39.3,Safe D,100,N,0
Bernadette Greene-Placentia (D) vs Abraham Hamadeh (R),AZ-08,Bernadette Greene-Placentia,Abraham Hamadeh,R+9.6,9.6,Likely R,8,N,92
Dani Sterbinsky (D) vs Paul Gosar (R),AZ-09,Dani Sterbinsky,Paul Gosar,R+22.5,22.5,Safe R,0,N,100
Mike McGuire (D) vs James Gallagher (R),CA-01,Mike McGuire,James Gallagher,D+17.3,-17.3,Safe D,99,Y,1
Jared Huffman (D) vs Robin Littau (R),CA-02,Jared Huffman,Robin Littau,D+34.8,-34.8,Safe D,100,N,0
Ami Bera (D) vs Robb Tucker (R),CA-03,Ami Bera,Robb Tucker,D+21.2,-21.2,Safe D,100,N,0
Mike Thompson (D) vs Eric Jones (D),CA-04,Mike Thompson/Eric Jones,Not Contested,D+100.0,-100,Safe D,100,N,0
Michael Masuda (D) vs Tom McClintock (R),CA-05,Michael Masuda,Tom McClintock,R+18.5,18.5,Safe R,1,N,99
Richard Pan (D) vs Kevin Kiley (Ind),CA-06,Richard Pan,Kevin Kiley (Ind),D+10.1,-10.1,Likely D,93,Y,7
Doris Matsui (D) vs Mai Vang (D),CA-07,Doris Matsui/Mai Vang,Not Contested,D+100.0,-100,Safe D,100,N,0
John Garamendi (D) vs Rudy Recile (R),CA-08,John Garamendi,Rudy Recile,D+46.2,-46.2,Safe D,100,N,0
Josh Harder (D) vs John McBride (R),CA-09,Josh Harder,John McBride,D+25.8,-25.8,Safe D,100,N,0
Mark DeSaulnier (D) vs Jeff Frese (R),CA-10,Mark DeSaulnier,Jeff Frese,D+43.0,-43,Safe D,100,N,0
Scott Weiner (D) vs Connie Chan (D),CA-11,Scott Weiner/Connie Chan,Not Contested,D+100.0,-100,Safe D,100,N,0
Lateefah Simon (D),CA-12,Lateefah Simon,Not Contested,D+100.0,-100,Safe D,100,N,0
Adam Gray (D) vs Kevin Lincoln (R),CA-13,Adam Gray,Kevin Lincoln,D+13.4,-13.4,Safe D,97,N,3
Aisha Wahab (D) vs Melissa Hernandez (D),CA-14,Aisha Wahab/Melissa Hernandez,Not Contested,D+100.0,-100,Safe D,100,N,0
Kevin Mullin (D) vs Charles Hoelter (R),CA-15,Kevin Mullin,Charles Hoelter,D+58.1,-58.1,Safe D,100,N,0
Sam Liccardo (D) vs Peter Soule (R),CA-16,Sam Liccardo,Peter Soule,D+60.2,-60.2,Safe D,100,N,0
Ro Khanna (D) vs Ritesh Tandon (R),CA-17,Ro Khanna,Ritesh Tandon,D+49.7,-49.7,Safe D,100,N,0
Zoe Lofgren (D) vs Shane Lewis (R),CA-18,Zoe Lofgren,Shane Lewis,D+38.9,-38.9,Safe D,100,N,0
Jimmy Panetta (D) vs Peter Coe Verbica (R),CA-19,Jimmy Panetta,Peter Coe Verbica,D+46.6,-46.6,Safe D,100,N,0
Sandra Van Scotter (D) vs Vince Fong (R),CA-20,Sandra Van Scotter,Vince Fong,R+30.9,30.9,Safe R,0,N,100
Jim Costa (D) vs Kyle Kirkland (R),CA-21,Jim Costa,Kyle Kirkland,D+16.8,-16.8,Safe D,99,N,1
Randy Villegas (D) vs David Valadao (R),CA-22,Randy Villegas,David Valadao,D+1.7,-1.7,Lean D,60,Y,40
Tessa Lynn Hodge (D) vs Jay Obernolte (R),CA-23,Tessa Lynn Hodge,Jay Obernolte,R+19.4,19.4,Safe R,0,N,100
Salud Carbajal (D) vs Bob Smith (R),CA-24,Salud Carbajal,Bob Smith,D+34.2,-34.2,Safe D,100,N,0
Raul Ruiz (D) vs Joe Males (R),CA-25,Raul Ruiz,Joe Males,D+21.8,-21.8,Safe D,100,N,0
Jacqui Irwin (D) vs Sam Gallucci (R),CA-26,Jacqui Irwin,Sam Gallucci,D+23.1,-23.1,Safe D,100,N,0
George Whitesides (D) vs Jason Gibbs (R),CA-27,George Whitesides,Jason Gibbs,D+23.1,-23.1,Safe D,100,N,0
Judy Chu (D) vs April A. Verlato (R),CA-28,Judy Chu,April A. Verlato,D+36.9,-36.9,Safe D,100,N,0
Luz Rivas (D) vs Angélica María Dueñas (D),CA-29,Luz Rivas/Angélica María Dueñas,Not Contested,D+100.0,-100,Safe D,100,N,0
Laura Friedman (D) vs Scott Alan Meyers (R),CA-30,Laura Friedman,Scott Alan Meyers,D+51.1,-51.1,Safe D,100,N,0
Gil Cisneros (D) vs Eric Ching (R),CA-31,Gil Cisneros,Eric Ching,D+22.8,-22.8,Safe D,100,N,0
Brad Sherman (D) vs Larry Thompson (R),CA-32,Brad Sherman,Larry Thompson,D+34.8,-34.8,Safe D,100,N,0
Pete Aguilar (D) vs Stephanie M. Vargas (R),CA-33,Pete Aguilar,Stephanie M. Vargas,D+23.4,-23.4,Safe D,100,N,0
Jimmy Gomez (D) vs Angela Gonzales-Torres (D),CA-34,Jimmy Gomez/Angela Gonzales-Torres,Not Contested,D+100.0,-100,Safe D,100,N,0
Norma Torres (D) vs Mike Cargile (R),CA-35,Norma Torres,Mike Cargile,D+20.4,-20.4,Safe D,100,N,0
Ted Lieu (D) vs Houston Brignano (R),CA-36,Ted Lieu,Houston Brignano,D+48.4,-48.4,Safe D,100,N,0
Sydney Kamlager-Dove (D) vs Samantha Mota (D),CA-37,Sydney Kamlager-Dove/Samantha Mota,Not Contested,D+100.0,-100,Safe D,100,N,0
Hilda Solis (D) vs Pedro Antonio Casas (R),CA-38,Hilda Solis,Pedro Antonio Casas,D+23.6,-23.6,Safe D,100,Y,0
Mark Takano (D) vs Steve Manos (R),CA-39,Mark Takano,Steve Manos,D+22.5,-22.5,Safe D,100,N,0
Young Kim (R) vs Ken Calvert (R),CA-40,Not Contested,Young Kim/Ken Calvert,R+100.0,100,Safe R,0,N,100
Linda Sanchez (D) vs Mitch Clemmons (R),CA-41,Linda Sanchez,Mitch Clemmons,D+26.6,-26.6,Safe D,100,N,0
Robert Garcia (D) vs Brian Burley (R),CA-42,Robert Garcia,Brian Burley,D+24.7,-24.7,Safe D,100,N,0
Maxine Waters (D) vs Cristian Morales (R),CA-43,Maxine Waters,Cristian Morales,D+61.3,-61.3,Safe D,100,N,0
Nanette Barragan (D) vs Genevieve Angel (R),CA-44,Nanette Barragan,Genevieve Angel,D+51.5,-51.5,Safe D,100,N,0
Derek Tran (D) vs Chuong V. Vo (R),CA-45,Derek Tran,Chuong V. Vo,D+18.0,-18,Safe D,99,N,1
